Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
dagi,N,P-s,nail [fastener],zumi,DERIVATE,,36;ERGANE:29023
baydagi,N,P-s,"button, pushbutton",dagi,MODIFIED,,1024
xodagi,N,P-s,flywheel,dagi,MODIFIED,,959
tidagi,N,P-s,wheel,dagi,MODIFIED,,899;ERGANE:36274
jidagi,N,P-s,"post, upright (support), standard",dagi,MODIFIED,,771;ERGANE:13841
xudagi,N,P-s,hinge,dagi,MODIFIED,,967
jodagi,N,P-s,"bolt, strong metal pin",dagi,MODIFIED,,786;ERGANE:5840
twajodagi,N,P-s,"button, clothing fastener",jodagi,MODIFIED,,2984
cidagi,N,P-s,trigger,dagi,MODIFIED,,629;ERGANE:47541
dadagi,N,P-s,"sail, canvas",dagi,MODIFIED,,656;ERGANE:70364
cudagi,N,P-s,"rail, guidebar",dagi,MODIFIED,,642
xucudagi,N,P-s,"beam, rafter, girder, joist",cudagi,MODIFIED,,2700;ERGANE:44241
zicudagi,N,P-s,handrail,cudagi,MODIFIED,,2715
kwicudagi,N,P-s,"frame, chassis, understructure, support structure",cudagi,MODIFIED,,2963
doydagi,N,P-s,knob,dagi,MODIFIED,,1157
xadagi,N,P-s,brick [count noun],dagi,MODIFIED,,937
fyudagi,N,P-s,blade,dagi,MODIFIED,,1205;ERGANE:19849
jofyudagi,N,P-s,screw,fyudagi,MODIFIED,,2898;ERGANE:48966
kawdagi,N,P-s,spring [compressed coil],dagi,MODIFIED,,1249
zidagi,N,P-s,handle,dagi,MODIFIED,,994;ERGANE:42970
twazidagi,N,P-s,zipper,zidagi,MODIFIED,,2988
jobodagi,N,P-s,rudder,dagi,MODIFIED,,1505
bozondagi,N,P-s,anchor,dagi,MODIFIED,,1621;ERGANE:3246
tavi,N,P-s,"shirt, blouse, chemise",zumi,DERIVATE,,60;ERGANE:47732
zitavi,N,P-s,"glove, mitten",tavi,MODIFIED,,997
kunzitavi,N,P-s,sleeping bag,zitavi,MODIFIED,,2949
xutavi,N,P-s,collar,tavi,MODIFIED,,971;ERGANE:20220
xotavi,N,P-s,"crown, royal headpiece",tavi,MODIFIED,,963;ERGANE:51032
twetavi,N,P-s,sleeve,tavi,MODIFIED,,1337;ERGANE:51551
fentavi,N,P-s,"cloak, cape",tavi,MODIFIED,,1189
dezetavi,N,P-s,ribbon,tavi,MODIFIED,,1463
jitavi,N,P-s,"pants, trousers",tavi,MODIFIED,,778
cutavi,N,P-s,"sock, stocking",tavi,MODIFIED,,649;ERGANE:49133
caycutavi,N,P-s,shoe,cutavi,MODIFIED,,2798
jotavi,N,P-s,"belt, strap",tavi,MODIFIED,,795
xujotavi,N,P-s,"tie, necktie, cravat",jotavi,MODIFIED,,2701
cuntavi,N,P-s,"coat, heavy jacket",tavi,MODIFIED,,1120
dotavi,N,P-s,dress,tavi,MODIFIED,,689
byetavi,N,P-s,"garment, item of clothing",tavi,MODIFIED,,1070;ERGANE:46448
libyetavi,N,P-s,"clothes, clothing, raiment, garb",byetavi,PREFIXED,,2965
byetaviga,N,P-s,"clothe, dress (up), attire, garb, put clothes on patient",byetavi,CHANGED,,2778
juntavi,N,P-s,veil,tavi,MODIFIED,,1243;ERGANE:47323
centavi,N,P-s,"hat, cap",tavi,MODIFIED,,1101
kicentavi,N,P-s,headdress,centavi,MODIFIED,,2938
kutavi,N,P-s,"suit, outfit [clothing]",tavi,MODIFIED,,873
detavi,N,P-s,towel,tavi,MODIFIED,,676;ERGANE:26643
bidetavi,N,P-s,blanket,detavi,MODIFIED,,2416;ERGANE:65987
xontavi,N,P-s,"rag, old frayed garment or remnant",tavi,MODIFIED,,1355
cintavi,N,P-s,"washcloth/washrag, facecloth",tavi,MODIFIED,,1109
xantavi,N,P-s,handkerchief,tavi,MODIFIED,,1342;ERGANE:29204
twacuzumi,N,P-s,"hanger, clothes hanger",zumi,MODIFIED,,474
zipi,N,P-s,"container, vessel",zumi,DERIVATE,,74
jozezipi,N,P-s,barrel,zipi,MODIFIED,,1509
fayzipi,N,P-s,cage,zipi,MODIFIED,,1185
fofayzipi,N,P-s,"trap, snare",fayzipi,MODIFIED,,2871;ERGANE:18965
zefayzipi,N,P-s,"pen, coop, fold, enclosure, fenced enclosure",fayzipi,MODIFIED,,3006;ERGANE:33866
cunzipi,N,P-s,"casing, shell",zipi,MODIFIED,,1122
jacunzipi,N,P-s,"safe, strongbox, coffer",cunzipi,MODIFIED,,2886
tizipi,N,P-s,"trunk (of a car), boot [Brit.]",zipi,MODIFIED,,907
zetizipi,N,P-s,"conduit, duct",tizipi,MODIFIED,,2711
jotizipi,N,P-s,"tube, cylindrical container",tizipi,MODIFIED,,2564
jizipi,N,P-s,"box, carton",zipi,MODIFIED,,781;ERGANE:40581
fojizipi,N,P-s,"pack, small box",jizipi,MODIFIED,,2533
binzipi,N,P-s,basket,zipi,MODIFIED,,1037;ERGANE:21470
cezipi,N,P-s,wire,zipi,MODIFIED,,627;ERGANE:8904
titenzipi,N,P-s,"tailpipe, vehicle exhaust pipe",zipi,MODIFIED,,1763
jozipi,N,P-s,"bowl, basin",zipi,MODIFIED,,797;ERGANE:32456
fejozipi,N,P-s,"pot, kettle",jozipi,MODIFIED,,2516
fazipi,N,P-s,"package, parcel, bundle",zipi,MODIFIED,,703
finzipi,N,P-s,"bottle, jar",zipi,MODIFIED,,1196;ERGANE:6057
jinzezipi,N,P-s,"hose, flexible pipe",zipi,MODIFIED,,1710
bozipi,N,P-s,cup,zipi,MODIFIED,,591;ERGANE:43248
kwebozipi,N,P-s,aquarium,bozipi,MODIFIED,,2960
kebozipi,N,P-s,"tub, vat, basin",bozipi,MODIFIED,,2593
cayzezipi,N,P-s,pipe,zipi,MODIFIED,,1636
dazipi,N,P-s,"bucket, pail",zipi,MODIFIED,,668
doyzezipi,N,P-s,"trough, gutter, drain, channel",zipi,MODIFIED,,1678;ERGANE:44985
zizipi,N,P-s,pocket,zipi,MODIFIED,,1000;ERGANE:34611
twezipi,N,P-s,faucet,zipi,MODIFIED,,1339
cinzipi,N,P-s,bathtub,zipi,MODIFIED,,1111
kwazipi,N,P-s,drawer,zipi,MODIFIED,,1286;ERGANE:43972
bokwazipi,N,P-s,"straw, drinking straw",kwazipi,MODIFIED,,2765;ERGANE:31611
dezipi,N,P-s,plate/platter,zipi,MODIFIED,,678
fedezipi,N,P-s,"pan, cooking vessel with flat base",dezipi,MODIFIED,,2512;ERGANE:32224
fodezipi,N,P-s,saucer,dezipi,MODIFIED,,2528;ERGANE:42210
kudezipi,N,P-s,tray,dezipi,MODIFIED,,2623;ERGANE:33561
twazipi,N,P-s,"sack, bag",zipi,MODIFIED,,1331;ERGANE:38402
titwazipi,N,P-s,"suitcase, valise, portmanteau, trunk",twazipi,MODIFIED,,2979;ERGANE:45846
lititwazipi,N,P-s,"luggage, baggage",titwazipi,PREFIXED,,4055
xozipi,N,P-s,"chest, hutch",zipi,MODIFIED,,965;ERGANE:6416
cayzipi,N,P-s,"tank, large liquid container",zipi,MODIFIED,,1096
kencayzipi,N,P-s,"can, tin (can)",cayzipi,MODIFIED,,3085
bayzipi,N,P-s,drain,zipi,MODIFIED,,1028
bobayzipi,N,P-s,"sink, basin, washbasin",bayzipi,MODIFIED,,2760
febayzipi,N,P-s,chimney,bayzipi,MODIFIED,,2855;ERGANE:18615
fizipi,N,P-s,envelope,zipi,MODIFIED,,724;ERGANE:21764
fuzipi,N,P-s,dish [food holder],zipi,MODIFIED,,749
bofuzipi,N,P-s,glass [drinking],fuzipi,MODIFIED,,2443
