Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
caybofepi,N,P-s,glacier,bofepi,MODIFIED,,1634
bofepema,V,0-s [-P],"rain (out), be raining",bofepi,CHANGED,,1420
tibofepi,N,P-s,current [liquid movement],bofepi,MODIFIED,,1556
bibofepi,N,P-s,flood,bofepi,MODIFIED,,1408;ERGANE:17854
dabofepi,N,P-s,cloud,bofepi,MODIFIED,,1455;ERGANE:30521
bocufepi,N,P-s,waterfall,fepi,MODIFIED,,404;ERGANE:2276
tincufepi,N,P-s,landslide,fepi,MODIFIED,,472
botincufepi,N,P-s,mudslide,tincufepi,MODIFIED,,1830
xivu,D,AP/F-s,counterfactuality modal disjunct,to,DERIVATE,,19
xivemo,A,F-s [-P],"hypothetical, speculative, conjectural, conditional",xivu,CHANGED,,231
xivema,V,F-s [-P],"be hypothetical, speculative, conjectural, conditional",xivemo,CHANGED,,955
xivenu,D,AP-s [-F],interrogative counterfactuality modal disjunct,xivu,SUFFIXED,,232
juxivu,D,AP/F-s,zero-counterfactuality modal disjunct,xivu,MODIFIED,,177
bixivu,D,AP/F-s,maximal-counterfactuality modal disjunct,xivu,MODIFIED,,97
bixivemo,A,F-s [-AP],"counterfactual, both hypothetical and untrue",bixivu,CHANGED,,1416
bixivema,V,F-s [-AP],"be counterfactual, both hypothetical and untrue",bixivemo,CHANGED,,2431
tayle,D,P-s,"somewhere, here, there, or yonder",to,DERIVATE,Locative pronoun: 1+2+3,22
bale,D,P-s,"here, at this location",tayle,DERIVATE,Locative pronoun: 1,25
bala,V,P-s,be here,bale,CHANGED,,481
balisa,V,AP-s,"stay (here), tarry",bala,SUFFIXED,,1890
balipa,V,AP-d,"come (here), cause oneself to become here",bala,SUFFIXED,,1889
cole,D,P-s,here or there near you,tayle,DERIVATE,Locative pronoun: 1+2,33
tule,D,P-s,here or over there,tayle,DERIVATE,Locative pronoun: 1+3,67
zale,D,P-s,"there, at that location",tayle,DERIVATE,Locative pronoun: 2+3,71;ERGANE:51503
dile,D,P-s,"over there [away from both speaker and listener], yonder",zale,DERIVATE,Locative pronoun: 3,496
xele,D,P-s,there [near listener],zale,DERIVATE,Locative pronoun: 2,519
tesye,C,0-n,"and, plus",to,DERIVATE,true conjunction,24
daytesye,C,0-n,"or (else), either ... or",tesye,MODIFIED,,410
byetesye,C,0-n,"""comma"" (in lists), list separator for parenthetical expressions",tesye,MODIFIED,,406
citesye,C,0-n,"if, as long as, provided (that), in the event, on condition, if it should happen that, etc",tesye,MODIFIED,,296
citesangye,C,0-n,then [conditional],citesye,SUFFIXED,,1793
kuntesye,C,0-n,but,tesye,MODIFIED,,422
zuntesye,C,0-n,"than, as, compared with/to, comparative conjunction",tesye,MODIFIED,,441
jutesye,C,0-n,"unless, excepting",tesye,MODIFIED,,343
ta,V,AP/F-s,be ,to,CHANGED,,2
bemi,N,P-s,"organ, body-part",to,DERIVATE,,4
kobemi,N,P-s,gene,bemi,MODIFIED,,201
kobemono,A,P-s,genetic,kobemi,CHANGED,,1526
kobemona,V,P-s,be genetic,kobemono,CHANGED,,2619
kukobemi,N,P-s,chromosome,kobemi,MODIFIED,,1535
zinbemi,N,P-s,"flower, blossom",bemi,MODIFIED,,386;ERGANE:13256
cubemi,N,P-s,root [of a plant],bemi,MODIFIED,,120
zobemi,N,P-s,apple,bemi,MODIFIED,,246;ERGANE:34163
tubemi,N,P-s,orange [the fruit],bemi,MODIFIED,,223
fotubemi,N,P-s,tangerine,tubemi,MODIFIED,,1486
xubemi,N,P-s,enzyme,bemi,MODIFIED,,238
cesi,N,P-s,head,bemi,DERIVATE,,31;ERGANE:11628
becesi,N,P-s,brain,cesi,MODIFIED,,548;ERGANE:6790
kawcesi,N,P-s,heart,cesi,MODIFIED,,1248;ERGANE:21582
fecesi,N,P-s,kidney,cesi,MODIFIED,,706;ERGANE:37090
xacesi,N,P-s,sperm,cesi,MODIFIED,,936
kuxacesi,N,P-s,testicle,xacesi,MODIFIED,,2636;ERGANE:43787
cincesi,N,P-s,liver,cesi,MODIFIED,,1104;ERGANE:16238
tocesi,N,P-s,"flesh, tissue",cesi,MODIFIED,,912;ERGANE:19148
fucesi,N,P-s,stomach,cesi,MODIFIED,,740;ERGANE:41815
dafucesi,N,P-s,"esophagus, gullet",fucesi,MODIFIED,,2485
cufucesi,N,P-s,intestine,fucesi,MODIFIED,,2475
zecesi,N,P-s,beard,cesi,MODIFIED,,981;ERGANE:5043
xanzecesi,N,P-s,mustache,zecesi,MODIFIED,,2990
tecesi,N,P-s,mouth,cesi,MODIFIED,,887;ERGANE:6640
datecesi,N,P-s,"beak, bill [of a bird]",tecesi,MODIFIED,,2486;ERGANE:60081
xetecesi,N,P-s,"joint, juncture of two bones",tecesi,MODIFIED,,2690
xucesi,N,P-s,neck [body part],cesi,MODIFIED,,966
zixucesi,N,P-s,wrist,xucesi,MODIFIED,,2717;ERGANE:34007
jixucesi,N,P-s,"hip, joint area between pelvis and upper leg",xucesi,MODIFIED,,2557
joxucesi,N,P-s,waist,xucesi,MODIFIED,,2565
xoxucesi,N,P-s,tendon,xucesi,MODIFIED,,2698
twexucesi,N,P-s,shoulder,xucesi,MODIFIED,,2989;ERGANE:49182
cuxucesi,N,P-s,ankle,xucesi,MODIFIED,,2477;ERGANE:25385
kencesi,N,P-s,finger,cesi,MODIFIED,,1264
cukencesi,N,P-s,toe,kencesi,MODIFIED,,2813;ERGANE:33009
bakencesi,N,P-s,thumb,kencesi,MODIFIED,,2738;ERGANE:34028
xancesi,N,P-s,nose,cesi,MODIFIED,,1340;ERGANE:29197
zicesi,N,P-s,"hand, mitt, manipulatory organ of primates",cesi,MODIFIED,,993
cuncesi,N,P-s,skin,cesi,MODIFIED,,1115;ERGANE:16056
teduncesi,N,P-s,lip,cesi,MODIFIED,,1758;ERGANE:24404
juncesi,N,P-s,face,cesi,MODIFIED,,1240;ERGANE:6871
bicesi,N,P-s,"body, corpus, flesh and bones",cesi,MODIFIED,,556
cibicesi,N,P-s,fetus,bicesi,MODIFIED,,2471
bicesono,A,P-s,"bodily, corporeal, physical",bicesi,CHANGED,,2414
bicesona,V,P-s,"be bodily, corporeal, physical",bicesono,CHANGED,,3673
docesi,N,P-s,egg,cesi,MODIFIED,,684;ERGANE:31466
kudocesi,N,P-s,ovary,docesi,MODIFIED,,2624
doncesi,N,P-s,"tongue, taste organ",cesi,MODIFIED,,1154;ERGANE:24354
jocesi,N,P-s,abdomen,cesi,MODIFIED,,785
cecesi,N,P-s,nerve,cesi,MODIFIED,,620;ERGANE:29919
twacesi,N,P-s,chest [body section],cesi,MODIFIED,,1327
jutwacesi,N,P-s,back [body region],twacesi,MODIFIED,,2908
jicesi,N,P-s,"leg, supporting body limb",cesi,MODIFIED,,770;ERGANE:22280
kayfawcesi,N,P-s,pancreas,cesi,MODIFIED,,1810
dacesi,N,P-s,lung,cesi,MODIFIED,,655;ERGANE:35916
tebucesi,N,P-s,"vocal cords, larynx, voice box",cesi,MODIFIED,,1552
xocesi,N,P-s,muscle,cesi,MODIFIED,,958;ERGANE:28892
tencesi,N,P-s,tail,cesi,MODIFIED,,1307
cetencesi,N,P-s,sting(er),tencesi,MODIFIED,,2804
bacesi,N,P-s,uterus,cesi,MODIFIED,,534
kicesi,N,P-s,"eye, organ of vision",cesi,MODIFIED,,841;ERGANE:30922
jijincesi,N,P-s,knee,cesi,MODIFIED,,1709;ERGANE:14949
fukwacesi,N,P-s,throat,cesi,MODIFIED,,1696;ERGANE:15346
twejincesi,N,P-s,elbow,cesi,MODIFIED,,1818;ERGANE:22339
twecesi,N,P-s,"arm, upper body limb",cesi,MODIFIED,,1335;ERGANE:6115
datwecesi,N,P-s,"wing, pinion, limb for flying",twecesi,MODIFIED,,2819;ERGANE:2643
tetwecesi,N,P-s,jaw,twecesi,MODIFIED,,2973
bocesi,N,P-s,"bladder, vesicle, sac, plant or animal organ that holds liquid",cesi,MODIFIED,,581
xabocesi,N,P-s,prostate gland,bocesi,MODIFIED,,2680
zencesi,N,P-s,gland,cesi,MODIFIED,,1363;ERGANE:15154
cucesi,N,P-s,foot [body part],cesi,MODIFIED,,641
tecucesi,N,P-s,chin,cucesi,MODIFIED,,2659;ERGANE:27405
faycucesi,N,P-s,"paw, animal foot",cucesi,MODIFIED,,2853
kiticesi,N,P-s,pupil [of the eye],cesi,MODIFIED,,1525
foycesi,N,P-s,ear,cesi,MODIFIED,,1199;ERGANE:41318
twebemi,N,P-s,"limb, branch, bodily extension",bemi,MODIFIED,,377;ERGANE:27259
bibemi,N,P-s,"nut, pit, stone",bemi,MODIFIED,,92;ERGANE:30562
xobemi,N,P-s,mitochondrion,bemi,MODIFIED,,234
tabemi,N,P-s,seed,bemi,MODIFIED,,207
kaybemi,N,P-s,berry,bemi,MODIFIED,,349;ERGANE:5402
kenbemi,N,P-s,"stem, stalk",bemi,MODIFIED,,350;ERGANE:43856
zubemi,N,P-s,cell [biological],bemi,MODIFIED,,250
janbemi,N,P-s,grape,bemi,MODIFIED,,332;ERGANE:46716
jobemi,N,P-s,"bean, pulse",bemi,MODIFIED,,167
cujobemi,N,P-s,tuber,jobemi,MODIFIED,,1453
cunbemi,N,P-s,"rind, skin",bemi,MODIFIED,,298
jocunbemi,N,P-s,"pod, hull, shell",cunbemi,MODIFIED,,1711
zibemi,N,P-s,"nucleus, cell nucleus",bemi,MODIFIED,,242
boybemi,N,P-s,"leaf, frond",bemi,MODIFIED,,267
fubemi,N,P-s,vegetable,bemi,MODIFIED,,152
babemi,N,P-s,fruit,bemi,MODIFIED,,82;ERGANE:14239
jibemi,N,P-s,"trunk [of a tree], bole",bemi,MODIFIED,,164
dovu,D,P/F-s,"can, may, have the option to, be permitted/allowed to, obligation modal disjunct",to,DERIVATE,"Deontic basic disjunct, obligation",7
zudovu,D,P/F-s,minimal obligation modal disjunct,dovu,MODIFIED,,251
dovangyu,A,P/F-s,optional for,dovu,CHANGED,,411
zulu,D,P/F-s,consequentiality modal disjunct,dovu,DERIVATE,,77
zuzulu,D,P/F-s,minimal consequentiality modal disjunct,zulu,MODIFIED,,1020
bizulu,D,P/F-s,maximal consequentiality modal disjunct,zulu,MODIFIED,,577
kezulu,D,P/F-s,high consequentiality modal disjunct,zulu,MODIFIED,,838
kezula,V,P/F-s,it's urgent that P (do) F,kezulu,MODIFIED,,2064
kezulemo,A,F-s [-P],"urgent, exigent, important, compelling, pressing, serious, highly consequential",kezula,CHANGED,,3772;ERGANE:45681
kezulema,V,F-s [-P],"be urgent, exigent, important, compelling, pressing, serious, highly consequential",kezulemo,CHANGED,,4444
juzulu,D,P/F-s,zero-consequentiality modal disjunct,zulu,MODIFIED,,813
kezulo,A,P/F-s,"responsible, accountable, liable, answerable",zulu,CHANGED,,837
bizula,V,P/F-s,"be imperative for P to F, be of the utmost urgency for P to F",zulu,CHANGED,,576
bizulemo,A,F-s [-P],"imperative, critical, crucial, vital, of the utmost urgency",bizula,CHANGED,,2435
bizulema,V,F-s [-P],"be imperative, critical, crucial, vital, of the utmost urgency",bizulemo,CHANGED,,3682
canzulu,D,P/F-s,average consequentiality modal disjunct,zulu,MODIFIED,,1083
zulenu,D,P-s [-F],interrogative consequentiality modal disjunct,zulu,SUFFIXED,,1015
fozulu,D,P/F-s,low consequentiality modal disjunct,zulu,MODIFIED,,738
dovenu,D,P-s [-F],interrogative obligation modal disjunct,dovu,SUFFIXED,,132
kedovu,D,P/F-s,"should, ought to, high obligation modal disjunct",dovu,MODIFIED,,183
bidovyu,A,P/F-s,"obligated to, required",dovu,CHANGED,,263
bidovangyu,A,P/F-s,"mandatory for, obligatory, compulsory",bidovyu,SUFFIXED,,1785
kesu,D,P/F-s,necessity modal disjunct,dovu,DERIVATE,,55
kekeso,A,P/F-s,"needy, in need (of)",kesu,CHANGED,,825
kesenu,D,P-s [-F],interrogative necessity modal disjunct,kesu,SUFFIXED,,830
zukesu,D,P/F-s,minimal necessity modal disjunct,kesu,MODIFIED,,1011
cankesu,D,P/F-s,average necessity modal disjunct,kesu,MODIFIED,,1077
bikeso,A,P/F-s,"destitute, down-and-out, in extreme need",kesu,CHANGED,,567
bikesa,V,P/F-s,"be destitute, down-and-out, in extreme need",bikeso,CHANGED,,1908
bikesemo,A,F-s [-P],"essential, indispensable, vital, exigent",bikesa,CHANGED,,3678
bikesema,V,F-s [-P],"be essential, indispensable, vital, exigent",bikesemo,CHANGED,,4341
kekesa,V,P/F-s,"need, require, have a need for",kesu,CHANGED,,824
kekesemi,N,P-s,"requirement, need, that which is needed",kekesa,CHANGED,,2605;ERGANE:5450
kekesemo,A,F-s [-P],"necessary, requisite, needed, required",kekesa,CHANGED,,2606
kekesema,V,F-s [-P],"be necessary, requisite, needed, required",kekesemo,CHANGED,,3765
kekesoni,N,P-s,"requirement, necessity, need",kekesa,CHANGED,,2607;ERGANE:5450
bikesu,D,P/F-s,maximal necessity modal disjunct,kesu,MODIFIED,,568
fokesu,D,P/F-s,low necessity modal disjunct,kesu,MODIFIED,,728
jukesu,D,P/F-s,zero-necessity modal disjunct,kesu,MODIFIED,,802
jukesa,V,P/F-s,"not to require, do not need, can stay without",jukesu,CHANGED,,2032
jukesemo,A,F-s [-P],"unnecessary, inessential, superfluous, unessential, not necessary",jukesa,CHANGED,,3745
jukesema,V,F-s [-P],"be unnecessary, inessential, superfluous, unessential, not necessary",jukesemo,CHANGED,,4422
jukesamba,V,A/P/F-d,"make F unnecessary to P, release",jukesa,SUFFIXED,,3916
jukesamboma,V,A/P-s [-F],"make unnecessary, obviate",jukesamba,CHANGED,,4725
kekesu,D,P/F-s,high necessity modal disjunct,kesu,MODIFIED,,826
bidovu,D,P/F-s,"must, have to, maximal obligation modal disjunct",dovu,MODIFIED,,93
fodovu,D,P/F-s,low obligation modal disjunct,dovu,MODIFIED,,147
candovu,D,P/F-s,"might as well, average obligation modal disjunct",dovu,MODIFIED,,284
candovyu,A,P/F-s,"supposed to, moderately obligated to",dovu,CHANGED,,407
dova,V,P/F-s,have the option of,dovu,CHANGED,,39
dovemi,N,P-s,option,dova,CHANGED,,690
bidova,V,P/F-s,be obligated to,dova,MODIFIED,,559
bidovanza,V,A/P/F-s,"require, oblige, to give someone an obligation to do something",bidova,SUFFIXED,,2748
bidovemo,A,F-s [-P],"mandatory, compulsory, obligatory",bidova,CHANGED,,2418
bidovema,V,F-s [-P],"be mandatory, compulsory, obligatory",bidovemo,CHANGED,,3675
bidovemi,N,P-s,"duty, obligation",bidova,CHANGED,,2417
bidovimba,V,AP/F-d,take on the obligation for,bidova,SUFFIXED,,2749
bidovinza,V,AP/F-s,feel obligated to,bidova,SUFFIXED,,2750
dovanza,V,A/P/F-s,"allow, let, permit, give (someone) the option to, give leave to",dova,SUFFIXED,,1156
dovemo,A,F-s [-P],"optional, discretional/discretionary, elective, neither required nor forbidden",dova,CHANGED,,691
dovema,V,F-s [-P],"be optional, discretional/discretionary, elective, neither required nor forbidden",dovemo,CHANGED,,1962
kedova,V,P/F-s,"it is advisable for P to F, it is desirable for P to F, be highly obligated to",dova,MODIFIED,,822
kedovemo,A,F-s [-P],"advisable, desirable, called for",kedova,CHANGED,,2598
kedovema,V,F-s [-P],"be advisable, desirable, called for",kedovemo,CHANGED,,3760
judovu,D,P/F-s,zero-obligation modal disjunct,dovu,MODIFIED,,174
tamu,D,AP/F-s,"may, probability modal disjunct",dovu,DERIVATE,Epistemic modality disjunct - probability,59
dupu,D,AP/F-s,significance modal disjunct,tamu,DERIVATE,,498
dupenu,D,AP-s [-F],interrogative significance modal disjunct,dupu,SUFFIXED,,1964
judupu,D,AP/F-s,zero-significance modal disjunct,dupu,MODIFIED,,2027
bidupu,D,AP/F-s,maximal significance modal disjunct,dupu,MODIFIED,,1900
fodupu,D,AP/F-s,low significance modal disjunct,dupu,MODIFIED,,1981
kedupu,D,AP/F-s,high significance modal disjunct,dupu,MODIFIED,,2052
zudupu,D,AP/F-s,minimal significance modal disjunct,dupu,MODIFIED,,2168
candupu,D,AP/F-s,average significance modal disjunct,dupu,MODIFIED,,2204
bitami,N,AP/F-s,"believer, one who accepts as true",tamu,CHANGED,,571
bitamemi,N,P-s,"truth, accepted fact, that which is believed to be true",bitami,SUFFIXED,,2428;ERGANE:46363
bitamesi,N,P-s,"belief, tenet, something believed to be true",bitami,SUFFIXED,,2430
zutamu,D,AP/F-s,"just might have ..., quite possibly, there's a slight probability that ..., minimal probability modal disjunct",tamu,MODIFIED,,1016
fugu,D,AP/F-s,hedge modal disjunct,tamu,DERIVATE,,503
kefugu,D,AP/F-s,high hedge modal disjunct,fugu,MODIFIED,,2055
bifugu,D,AP/F-s,maximal hedge modal disjunct,fugu,MODIFIED,,1902
zufugu,D,AP/F-s,minimal hedge modal disjunct,fugu,MODIFIED,,2169
jufugu,D,AP/F-s,zero-hedge modal disjunct,fugu,MODIFIED,,2028
jufugemo,A,P/F-s,"so-called, self-styled, soi-disant",jufugu,CHANGED,,3744
jufugema,V,P/F-s,"be so-called, self-styled, soi-disant",jufugemo,CHANGED,,4419
fugenu,D,AP-s [-F],interrogative hedge modal disjunct,fugu,SUFFIXED,,1994
fofugu,D,AP/F-s,low hedge modal disjunct,fugu,MODIFIED,,1982
canfugu,D,AP/F-s,average hedge modal disjunct,fugu,MODIFIED,,2206
fotamu,D,AP/F-s,"might, low probability modal disjunct",tamu,MODIFIED,,732
Fotamemu,D,F-s [-AP],"Probably not, Not likely, That's probably not correct",fotamu,SUFFIXED,,2537
jutami,N,AP/F-s,"unbeliever, disbeliever, one who accepts as untrue or impossible",tamu,CHANGED,,804
tama,V,AP/F-s,"accept as possible, admit the possibility of, give credit/credence to",tamu,CHANGED,,513
jutama,V,AP/F-s,"disbelieve, reject, to feel that something is untrue or impossible",tama,MODIFIED,,2034
jutamemo,A,F-s [-AP],"false, untrue, incorrect, wrong, impossible",jutama,CHANGED,,3747;ERGANE:26063
jutamema,V,F-s [-AP],"be false, untrue, incorrect, wrong, impossible",jutamemo,CHANGED,,4424
ketama,V,AP/F-s,"think, feel, reckon, be of the opinion, take as likely or highly probable",tama,MODIFIED,,2060;ERGANE:32533
ketamemi,N,P-s,presumption,ketama,CHANGED,,3769
ketamemo,A,F-s [-AP],"likely, highly probable, almost certain",ketama,CHANGED,,3770
ketamema,V,F-s [-AP],"be likely, highly probable, almost certain",ketamemo,CHANGED,,4443
ketamenvi,N,P-s,"assessment, impression, feeling, opinion",ketama,CHANGED,,3930
ketamunza,V,P/F-s,"presume, accept as most likely",ketama,SUFFIXED,,3931;ERGANE:42637
tamoni,N,P-s,"agnosticism, open-mindedness, broad-mindedness",tama,CHANGED,,2096;ERGANE:1932
cantama,V,AP/F-s,"reckon as probable, consider",tama,MODIFIED,,2210
cantamemo,A,F-s [-AP],"probable, having a moderate probability",cantama,CHANGED,,3862
cantamema,V,F-s [-AP],"be probable, having a moderate probability",cantamemo,CHANGED,,4535
cantamunza,V,P/F-s,"suppose, gather, daresay, accept as probable",cantama,SUFFIXED,,4001
cantamimba,V,AP/F-d,"conjecture, speculate, surmise, take as probable",cantama,SUFFIXED,,4000
tamemo,A,F-s [-AP],"possible, conceivable, imaginable, thinkable",tama,CHANGED,,2095
tamemono,A,P-s,"possible, likely",tamemo,SUFFIXED,,3807
tamemona,V,P-s,"be possible, likely",tamemono,CHANGED,,4459
tamemoni,N,P-s,"possibility, likelihood, probability, chance, potential",tamemono,CHANGED,,4460
tamema,V,F-s [-AP],"be possible, conceivable, imaginable, thinkable",tamemo,CHANGED,,3378
tame,D,AP/F-s,accepting as possible,tama,CHANGED,,1865
tamoge,D,0-n,possibly,tame,SUFFIXED,,3379
fotama,V,AP/F-s,"doubt, question, be doubtful about, have doubts about, be skeptical about, consider unlikely or improbable",tama,MODIFIED,,1987
fotamoni,N,P-s,"skepticism, doubt",fotama,CHANGED,,3730
fotamemo,A,F-s [-AP],"unlikely, improbable, dubious, in doubt",fotama,CHANGED,,3729
fotamema,V,F-s [-AP],"be unlikely, improbable, dubious, in doubt",fotamemo,CHANGED,,4403
bitama,V,AP/F-s,"believe, be convinced that/of, take as true (that)",tama,MODIFIED,,1910
bitamemono,A,P-s,truthful,bitama,CHANGED,,3992
bitamemona,V,P-s,be truthful,bitamemono,CHANGED,,4653
bitamemoni,N,P-s,"truth, veracity, truthfulness",bitamemono,CHANGED,,4654;ERGANE:46363
bitamunza,V,P/F-s,"realize, aware that, understand",bitama,SUFFIXED,,3847
bitamunzyu,A,P/F-s,"credulous about, gullible, trusting, easily taken in, inclined to believe",bitamunza,CHANGED,,4655
bitamoni,N,P-s,"faith, conviction",bitama,CHANGED,,3681
bitamemo,A,F-s [-AP],"true, veritable",bitama,CHANGED,,3680
bitamema,V,F-s [-AP],"be true, veritable",bitamemo,CHANGED,,4344
bitamamba,V,A/P/F-d,"persuade, convince, win over, cause someone to come to believe something",bitama,SUFFIXED,,3845
bitamimba,V,AP/F-d,"decide, resolve, make up one's mind, conclude, convince oneself",bitama,SUFFIXED,,3846
bitame,D,AP/F-s,believing taking as true (that),bitama,CHANGED,,3232
bitamoge,D,0-n,"truly, definitely, really, absolutely, positively, indeed",bitame,SUFFIXED,,4345;ERGANE:46326
jutamo,A,AP/F-s,"incredulous, unbelieving, disbelieving",tamu,CHANGED,,805
fotami,N,AP/F-s,"skeptic, doubter",tamu,CHANGED,,730
ketamu,D,AP/F-s,"must have ..., almost certainly, most likely, high probability modal disjunct",tamu,MODIFIED,,831
Ketamemu,D,F-s [-AP],"Most likely, Most probably, Almost certainly, In all likelihood, That's almost certainly correct",ketamu,SUFFIXED,,2611
jegu,D,AP/F-s,evidentiality modal disjunct,tamu,DERIVATE,,504
fojegu,D,AP/F-s,low evidentiality modal disjunct,jegu,MODIFIED,,1984
jegenu,D,AP-s [-F],interrogative evidentiality modal disjunct,jegu,SUFFIXED,,2007
jega,V,AP/F-s,"accept as possible, admit the possibility of",jegu,CHANGED,,1856
jegemo,A,F-s [-AP],"plausible, conceivable, reasonable, justifiable",jega,CHANGED,,3316
jegema,V,F-s [-AP],"be plausible, conceivable, reasonable, justifiable",jegemo,CHANGED,,4136
fojega,V,AP/F-s,"doubt, question, be skeptical, consider unlikely due to the paucity of evidence or reason",jega,MODIFIED,,3297
fojegemo,A,F-s [-AP],"problematic, dubious, unlikely due to the paucity of evidence or reason",fojega,CHANGED,,4400
fojegema,V,F-s [-AP],"be problematic, dubious, unlikely due to the paucity of evidence or reason",fojegemo,CHANGED,,4814
canjega,V,AP/F-s,"suspect, imagine, feel that there is reasonable evidence for",jega,MODIFIED,,3460
kejega,V,AP/F-s,"suppose, gather, surmise, guess, figure, reckon, take as likely due to evidence/reason",jega,MODIFIED,,3340
kejegemo,A,F-s [-AP],"apparent, seeming, ostensible",kejega,CHANGED,,4439;ERGANE:48446
kejegema,V,F-s [-AP],"be apparent, seeming, ostensible",kejegemo,CHANGED,,4824
bijego,A,AP/F-s,"sure, certain, positive, confident",jegu,CHANGED,,1903
bijega,V,AP/F-s,"to be sure, certain, positive, confident",bijego,CHANGED,,3228
bijegemo,A,F-s [-AP],"obvious, evident, manifest, patent, clear, certain, definite, plain, unmistakable",bijega,CHANGED,,4338
bijegema,V,F-s [-AP],"be obvious, evident, manifest, patent, clear, certain, definite, plain, unmistakable",bijegemo,CHANGED,,4797
bijegoni,N,P-s,"certainty, certitude, confidence",bijega,CHANGED,,4339
bijegimba,V,AP/F-d,"conclude, come to the conclusion (that/about), come to be certain, confident, or sure (that/about)",bijega,SUFFIXED,,4509
bijegimbemo,A,F-d [-AP],"conclusive, what one has determined is certain or sure",bijegimba,CHANGED,,4997
bijegimbema,V,F-d [-AP],"be conclusive, what one has determined is certain or sure",bijegimbemo,CHANGED,,5086
bijegimbemi,N,P-s,"conclusion, deduction, inference, verdict, determination, judgment, something that one has become certain or sure of",bijegimba,CHANGED,,4996
bijegamba,V,A/P/F-d,"convince, persuade, show, cause someone to become certain/sure/confident that/about",bijega,SUFFIXED,,4508
bijegamboma,V,A/P-d [-F],"prove, establish, prove that something is true",bijegamba,SUFFIXED,,4995;ERGANE:35772
zujegu,D,AP/F-s,minimal evidentiality modal disjunct,jegu,MODIFIED,,2170
jujegu,D,AP/F-s,"There's no way that ..., zero-evidentiality modal disjunct",jegu,MODIFIED,,2029
kejegu,D,AP/F-s,"seem, feel, high evidentiality modal disjunct",jegu,MODIFIED,,2056
bijegu,D,AP/F-s,maximal evidentiality modal disjunct,jegu,MODIFIED,,1904
bijegunzangyu,A,P/F-s,"obvious to, evident, clear",bijegu,CHANGED,,4066
fojego,A,AP/F-s,"skeptical, doubtful, doubting, skeptical due to the paucity of evidence or reason",jegu,CHANGED,,1983
canjegu,D,AP/F-s,average evidentiality modal disjunct,jegu,MODIFIED,,2207
tamenu,D,AP-s [-F],interrogative probability modal disjunct,tamu,SUFFIXED,,882
fotamo,A,AP/F-s,"skeptical, doubtful, doubting",tamu,CHANGED,,731
Tamemu,D,F-s [-AP],"Maybe, Perhaps, That's possible",tamu,SUFFIXED,,881
jutamu,D,AP/F-s,"not, zero-probability modal disjunct",tamu,MODIFIED,,806;ERGANE:49265
Jutamemu,D,F-s [-AP],"No, That's not true, That's wrong, That's incorrect",jutamu,SUFFIXED,,2583
zimu,D,AP/F-s,acceptability modal disjunct,tamu,DERIVATE,,525
fozimu,D,AP/F-s,low acceptability modal disjunct,zimu,MODIFIED,,1992
juzimo,A,AP/F-s,"disapproving, opposed, hostile",zimu,CHANGED,,2039
bizimu,D,AP/F-s,maximal acceptability modal disjunct,zimu,MODIFIED,,1913
canzima,V,AP/F-s,"accept, countenance, sanction, feel that focus is acceptable",zimu,CHANGED,,2212
canzimyu,A,AP/F-s,"comfortable with, satisfied, approving, accepting, feeling that something (the focus, if specified) is moderately acceptable",canzima,CHANGED,,3702
canzimemo,A,F-s [-AP],"acceptable, admissible, okay",canzima,CHANGED,,3863
canzimema,V,F-s [-AP],"be acceptable, admissible, okay",canzimemo,CHANGED,,4536
zuzimu,D,AP/F-s,minimal acceptability modal disjunct,zimu,MODIFIED,,2175
juzima,V,AP/F-s,"disapprove (of), oppose",zimu,CHANGED,,2038
juzimenvi,N,P-s,"disapproval, opposition",juzima,CHANGED,,3918
juzimemo,A,F-s [-AP],"unacceptable, inadmissible, intolerable",juzima,CHANGED,,3749
juzimema,V,F-s [-AP],"be unacceptable, inadmissible, intolerable",juzimemo,CHANGED,,4425
fozima,V,AP/F-s,"disfavor, frown (up)on, deprecate",zimu,CHANGED,,1991
kezimu,D,AP/F-s,high acceptability modal disjunct,zimu,MODIFIED,,2063
canzimu,D,AP/F-s,average acceptability modal disjunct,zimu,MODIFIED,,2213
juzimu,D,AP/F-s,zero-acceptability modal disjunct,zimu,MODIFIED,,2040
zimenu,D,AP-s [-F],interrogative acceptability modal disjunct,zimu,SUFFIXED,,2159
bitamu,D,AP/F-s,"definitely, for sure, absolutely, maximal probability modal disjunct",tamu,MODIFIED,,572
Bitamemu,D,F-s [-AP],"Yes, That's correct",bitamu,SUFFIXED,,2429
cavu,D,AP/F-s,inevitability modal disjunct,tamu,DERIVATE,,487
bicava,V,AP/F-s,"presume, assume, take for granted, accept as inevitable",cavu,CHANGED,,1898;ERGANE:42637
bicavemo,A,F-s [-AP],"inevitable, unavoidable, pre-ordained, ineluctable",bicava,CHANGED,,3672
bicavema,V,F-s [-AP],"be inevitable, unavoidable, pre-ordained, ineluctable",bicavemo,CHANGED,,4334
bicavemi,N,P-s,"destiny, fate, lot, fortune, that which is inevitable",bicava,CHANGED,,3671
bicavemono,A,P-s,"inevitable, unavoidable",bicava,CHANGED,,3987
